ZSCAN5B;2.3.3.5.2
ZSCAN5C;2.3.3.5.3
ZSCAN5D;2.3.3.5.4
ZNF492;2.3.3.60.2
ZNF98;2.3.3.60.1
HKR1;2.3.3.61.2
ZNF133;2.3.3.61.4
ZNF169;2.3.3.61.3
ZNF343;2.3.3.61.1
ZFP2;2.3.3.62.1
ZNF568;2.3.3.62.3
ZNF71;2.3.3.62.2
ZFP14;2.3.3.63.3
ZFP30;2.3.3.63.1
ZFP82;2.3.3.63.2
ZNF354A;2.3.3.64.1
ZNF354B;2.3.3.64.2
ZFX;2.3.3.65.1
ZFY;2.3.3.65.2
ZNF672;2.3.3.66.2
ZNF689;2.3.3.66.1
ZNF107;2.3.3.0.233
ZNF208;2.3.3.0.234
ZNF283;2.3.3.67.1
ZNF30;2.3.3.67.6
ZNF345;2.3.3.67.2
ZNF404;2.3.3.67.3
ZNF420;2.3.3.67.7
ZNF43;2.3.3.0.230
ZNF540;2.3.3.67.4
ZNF546;2.3.3.67.10
ZNF571;2.3.3.67.5
ZNF573;2.3.3.67.8
ZNF607;2.3.3.67.9
ZNF721;2.3.3.77.2
ZNF726;2.3.3.0.226
ZNF729;2.3.3.80.2
ZNF780A;2.3.3.67.11
ZNF780B;2.3.3.67.12
ZNF850;2.3.3.0.236
ZNF91;2.3.3.0.235
ZNF99;2.3.3.80.1
ZNF175;2.3.3.68.2
ZNF41;2.3.3.68.3
ZNF484;2.3.3.68.4
ZNF585A;2.3.3.68.6
ZNF585B;2.3.3.68.5
ZNF81;2.3.3.68.1
ZFP37;2.3.3.69.3
ZNF157;2.3.3.69.2
ZNF25;2.3.3.69.1
ZNF33A;2.3.3.69.6
ZNF33B;2.3.3.69.7
ZNF567;2.3.3.69.4
ZNF782;2.3.3.69.5
ZNF213;2.3.3.6.4
ZNF75A;2.3.3.6.1
ZNF75C;2.3.3.6.2
ZNF75D;2.3.3.6.3
ZNF182;2.3.3.0.193
ZNF268;2.3.3.70.2
ZNF26;2.3.3.70.1
ZNF300;2.3.3.71.1
ZNF605;2.3.3.71.2
ZNF600;2.3.3.72.4
ZNF611;2.3.3.72.3
ZNF761;2.3.3.72.6
ZNF808;2.3.3.72.5
ZNF813;2.3.3.72.1
ZNF845;2.3.3.72.7
ZNF860;2.3.3.72.2
ZNF28;2.3.3.73.2
ZNF816;2.3.3.73.1
ZNF442;2.3.3.74.1
ZNF443;2.3.3.74.5
ZNF44;2.3.3.74.3
ZNF799;2.3.3.74.4
ZNF823;2.3.3.74.2
ZNF432;2.3.3.75.1
ZNF615;2.3.3.75.2
ZNF160;2.3.3.76.2
ZNF347;2.3.3.76.3
ZNF616;2.3.3.79.3
ZNF665;2.3.3.76.1
ZNF836;2.3.3.79.2
ZNF841;2.3.3.79.1
ZNF14;2.3.3.78.1
ZNF709;2.3.3.78.2
ZNF705D;2.3.3.7.1
ZNF705E;2.3.3.7.4
ZNF705F;2.3.3.7.2
ZNF705G;2.3.3.7.3
RBAK;2.3.3.81.2
ZNF12;2.3.3.81.1
ZBTB7A;2.3.3.8.1
ZBTB7B;2.3.3.8.2
ZBTB7C;2.3.3.8.3
YY1;2.3.3.9.1
YY2;2.3.3.9.2
ZFP42;2.3.3.9.3
TRPS1;2.3.4.0.20
ADNP1;2.3.4.0.77
ADNP2;2.3.4.0.78
CASZ1;2.3.4.0.1
E4F1;2.3.4.0.74
FIZ1;2.3.4.0.38
PEG3;2.3.4.0.23
PRDM10;2.3.4.0.34
PRDM13;2.3.4.0.12
PRDM15;2.3.4.0.32
PRDM2;2.3.4.0.16
PRDM4;2.3.4.0.31
PRDM8;2.3.4.0.3
PRDM9;2.3.4.0.71
REST;2.3.4.0.27
RREB1;2.3.4.0.15
WIZ;2.3.4.0.4
ZBTB17;2.3.4.0.72
ZBTB38;2.3.4.0.8
ZBTB39;2.3.4.0.9
ZBTB41;2.3.4.0.33
ZBTB4;2.3.4.0.7
ZFP112;2.3.4.0.65
ZFP57;2.3.4.0.28
ZFPM1;2.3.4.0.6
ZKSCAN5;2.3.4.0.42
ZNF101;2.3.4.0.51
ZNF132;2.3.4.0.70
ZNF142;2.3.4.0.37
ZNF195;2.3.4.0.59
ZNF236;2.3.4.0.25
ZNF251;2.3.4.0.52
ZNF277;2.3.4.0.19
ZNF295;2.3.4.0.10
ZNF304;2.3.4.0.69
ZNF316;2.3.4.0.43
ZNF335;2.3.4.0.2
ZNF341;2.3.4.0.35
ZNF407;2.3.4.0.73
ZNF438;2.3.4.0.22
ZNF445;2.3.4.0.53
ZNF451;2.3.4.0.21
ZNF462;2.3.4.0.75
ZNF467;2.3.4.0.45
ZNF469;2.3.4.0.5
ZNF48;2.3.4.0.48
ZNF507;2.3.4.0.24
ZNF513;2.3.4.0.36
ZNF519;2.3.4.0.68
ZNF579;2.3.4.0.14
ZNF597;2.3.4.0.30
ZNF606;2.3.4.0.67
ZNF618;2.3.4.0.18
ZNF628;2.3.4.0.39
ZNF629;2.3.4.0.49
ZNF644;2.3.4.0.76
ZNF646;2.3.4.0.13
ZNF668;2.3.4.0.50
